1736, KSU703, Toyota, Yaris
1737, KSU706, Toyota, Yaris
1738, KSU708, Toyota, Yaris
1739, KSU709, Toyota, Yaris
1740, KSU710, Toyota, Yaris
1741, KSU714, Toyota, Yaris
1742, KSU716, Toyota, Yaris
1743, KSU719, Toyota, Yaris
1744, KTD338, VW, Golf
1745, KTD340, VW, Golf
1746, KTD341, VW, Golf
1747, KTD337, VW, Golf
1748, KTD336, VW, Golf
1749, KTD342, VW, Golf
1750, KTD347, VW, Golf
1752, KSV131, Alfa Romeo, Stelvio
1753, KSV130, Alfa Romeo, Stelvio
1755, KUZ856, Ford, Fiesta
1759, KTT975, VW, Polo
1760, KTT976, VW, Polo
1761, KTT978, VW, Polo
1762, KTT980, VW, Polo
1763, KTT981, VW, Polo
1764, KTT996, VW, Polo
1765, KTT985, VW, Polo
1766, KTT986, VW, Polo
1767, KTT992, VW, Polo
1769, KTT983, VW, Polo
1770, KTU014, VW, Polo
1771, KTU016, VW, Polo
1772, KTU017, VW, Polo
1773, KTU019, VW, Polo
1774, KUD728, VW, Golf New
1775, KUD725, VW, Golf New
1776, KUD709, VW, Passat
1777, KUD711, VW, Passat
1778, KUD701, VW, Passat
1779, KUD702, VW, Passat
1780, KUD704, VW, Passat
1781, KUD719, VW, Passat
1782, KUD718, VW, Passat
1783, KUD712, VW, Passat
1784, KUD714, VW, Passat
1785, KUD716, VW, Passat
1786, KTN672, VW, Golf New
1787, KTN676, VW, Golf New
1789, KUN188, Peugeot, 308
1791, KUN190, Peugeot, 308
1793, KUN176, Peugeot, 308
1794, KUN178, Peugeot, 308
1795, KUN179, Peugeot, 308
1796, KUN180, Peugeot, 308
1797, KUN182, Peugeot, 308
1798, KUN184, Peugeot, 308
1800, KUN191, Peugeot, 308
1802, KUN194, Peugeot, 308
1803, KUN193, Peugeot, 308
1805, KUO339, VW, Polo
1806, KUO336, VW, Polo
1807, KUO341, VW, Polo
1808, KUO329, VW, Polo
1809, KUO344, VW, Polo
1810, KUO379, VW, Polo
1811, KUO374, VW, Polo
1812, KUO371, VW, Polo
1813, KUO377, VW, Polo
1814, KUO375, VW, Polo
1815, KUO348, VW, Polo
1816, KUO370, VW, Polo
1817, KUO368, VW, Polo
1818, KUO356, VW, Polo
1819, KUO359, VW, Polo
1820, KUO361, VW, Polo
1821, KUO351, VW, Polo
1822, KUO365, VW, Polo
1823, KUO363, VW, Polo
1824, KUP614, Opel, Vivaro
1825, KUP609, Opel, Vivaro
1826, KUP623, Opel, Vivaro
1827, KUP619, Opel, Vivaro
1828, KUP610, Opel, Vivaro
1829, KUP612, Opel, Vivaro
1830, KUP621, Opel, Vivaro
1831, KUP625, Opel, Vivaro
1832, KUP618, Opel, Vivaro
1833, KUP620, Opel, Vivaro
1834, KUP952, VW, Golf New
1835, KUP953, VW, Golf New
1836, KUP950, VW, Golf New
1837, KUP954, VW, Golf New
1838, KUP947, VW, Golf New
1839, KUP930, VW, Golf New
1840, KUP938, VW, Golf New
1841, KUP944, VW, Golf New
1842, KUP936, VW, Golf New
1843, KUP941, VW, Golf New
1844, KUP922, VW, Golf New
1845, KUP924, VW, Golf New
1846, KUP935, VW, Golf New
1847, KUP910, VW, Golf New
1849, KUP914, VW, Golf New
1850, KUP916, VW, Golf New
1851, KUP918, VW, Golf New
1852, KUP933, VW, Golf New
1853, KUP960, VW, Golf New
1854, KUP956, VW, Golf New
1856, KUP927, VW, Golf New
1857, KUP901, VW, Golf New
1858, KUP932, VW, Golf New
1861, KZC405, Nissan, Qashqai
1862, KZC403, Nissan, Qashqai
1863, KZC402, Nissan, Qashqai
1865, KZC398, Nissan, Qashqai
1866, KZC396, Nissan, Qashqai
1867, KZC394, Nissan, Qashqai
1868, KZC392, Nissan, Qashqai
1871, KZC387, Nissan, Qashqai
1874, KZC383, Nissan, Qashqai
1876, KZC384, Nissan, Qashqai
1880, KZP436, Nissan, Qashqai
1881, KZP437, Nissan, Qashqai
1882, KZP438, Nissan, Qashqai
1883, KZP439, Nissan, Qashqai
1884, KZP441, Nissan, Qashqai
1885, KZP443, Nissan, Qashqai
1886, KZP445, Nissan, Qashqai
1887, KZP446, Nissan, Qashqai
1890, KZT722, VW, Golf New
1891, KZT726, VW, Golf New
1892, KZT730, VW, Golf New
1893, KZT694, VW, Golf New
1894, KZT702, VW, Golf New
1895, KZT706, VW, Golf New
1896, KZT715, VW, Golf New
1897, KZT720, VW, Golf New
1898, KZT691, VW, Golf New
1899, KZT692, VW, Golf New
1900, KZT699, VW, Golf New
1901, KZT704, VW, Golf New
1902, KZT709, VW, Golf New
1903, LAH422, Fiat, Ducato
1904, LAH423, Fiat, Ducato
1909, S0411, Scooter, Segway
1912, S0521, Scooter, Segway
1913, S0515, Scooter, Segway
1914, S0620, Scooter, Segway
1915, S1466, Scooter, Segway
1916, S0557, Scooter, Segway
